epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,30073.8,0.79022,0.67756,1.1552,0.58145,0.69199,0.63648,0.51205,0.76024,0.79251,1.11069,0.005842,0.005842,0.005842
44,30750,0.78585,0.66996,1.15268,0.58232,0.69239,0.63645,0.51179,0.75923,0.7922,1.1101,0.005743,0.005743,0.005743
45,31424.2,0.78237,0.6673,1.15102,0.58197,0.69141,0.63592,0.51198,0.758,0.79175,1.10913,0.005644,0.005644,0.005644
46,32098.8,0.77874,0.66652,1.1502,0.58666,0.68911,0.63635,0.5122,0.75672,0.79138,1.10809,0.005545,0.005545,0.005545
47,32790.7,0.78093,0.66261,1.14782,0.58714,0.69171,0.6368,0.5128,0.75539,0.78914,1.10731,0.005446,0.005446,0.005446
48,33471.3,0.77339,0.65732,1.1457,0.58778,0.69143,0.63735,0.51306,0.75332,0.78807,1.1057,0.005347,0.005347,0.005347
49,34150.1,0.77364,0.65704,1.14628,0.58935,0.69188,0.63689,0.51319,0.75161,0.78611,1.10476,0.005248,0.005248,0.005248
50,34822.9,0.76575,0.6497,1.14355,0.58963,0.69211,0.63711,0.51345,0.75002,0.78579,1.10356,0.005149,0.005149,0.005149
51,35498.6,0.76162,0.64484,1.14051,0.59184,0.69302,0.63709,0.51404,0.74869,0.78602,1.10275,0.00505,0.00505,0.00505
52,36173.7,0.76383,0.64237,1.14095,0.59147,0.6932,0.63798,0.51511,0.74784,0.78562,1.10203,0.004951,0.004951,0.004951
53,36848.8,0.76063,0.63571,1.13718,0.59187,0.69176,0.63848,0.51584,0.74641,0.78297,1.10125,0.004852,0.004852,0.004852
54,37523.7,0.75613,0.63256,1.13439,0.59125,0.6962,0.63827,0.51523,0.74497,0.78243,1.10021,0.004753,0.004753,0.004753
55,38198.6,0.7499,0.63118,1.13043,0.59318,0.69742,0.63823,0.51526,0.74387,0.78095,1.09945,0.004654,0.004654,0.004654
56,38875.3,0.75346,0.63215,1.13221,0.59419,0.69723,0.63848,0.5154,0.74221,0.7793,1.09821,0.004555,0.004555,0.004555
57,39552.3,0.74596,0.62334,1.12904,0.60051,0.69665,0.63878,0.51588,0.74069,0.77674,1.097,0.004456,0.004456,0.004456
